Time,MAX,MIN,AVG
118.565,0.477263361,-0.159064204,0.098807923
118.57,0.48121196,-0.176984638,0.099111661
118.575,0.49032405,-0.156938046,0.098807923
118.58,0.452660739,-0.120793425,0.098807923
118.585,0.509459376,-0.16999872,0.099415392
118.59,0.456913054,-0.141447499,0.099111661
118.595,0.460557878,-0.156938046,0.099415392
118.6,0.481515676,-0.152989477,0.099415392
118.605,0.495791286,-0.141143769,0.09971913
118.61,0.472403586,-0.152078271,0.098807923
118.615,0.476959646,-0.14691475,0.098807923
118.62,0.498524934,-0.167265072,0.099111661
118.625,0.4806045,-0.181236953,0.098807923
118.63,0.46693635,-0.15572311,0.098807923
118.635,0.477263361,-0.153596953,0.099415392
118.64,0.496398777,-0.138106391,0.099111661
118.645,0.470884919,-0.178199589,0.098807923
118.65,0.453875691,-0.130512983,0.098807923
118.655,0.4851605,-0.135980248,0.098807923
118.66,0.447497219,-0.143877387,0.098504186
118.665,0.47604844,-0.177592114,0.099111661
118.67,0.4851605,-0.146003544,0.098504186
118.675,0.460254133,-0.134765297,0.099111661
118.68,0.471188664,-0.148433432,0.09789671
118.685,0.505207121,-0.157545507,0.099415392
118.69,0.502473474,-0.17394729,0.099415392
118.695,0.487286657,-0.153900683,0.09971913
118.7,0.468758762,-0.136283979,0.099111661
118.705,0.468151271,-0.160886616,0.099111661
118.71,0.464810193,-0.15086332,0.099111661
118.715,0.476352185,-0.158152997,0.098504186
118.72,0.440207541,-0.146307275,0.098504186
118.725,0.474833488,-0.131727934,0.098807923
118.73,0.488197893,-0.154204428,0.098807923
118.735,0.498221189,-0.184578061,0.098504186
118.74,0.47209987,-0.16513893,0.098807923
118.745,0.444459856,-0.153900683,0.09789671
118.75,0.510674357,-0.16544266,0.098200448
118.755,0.442029983,-0.174858496,0.098807923
118.76,0.462684035,-0.161494106,0.098504186
118.765,0.442637444,-0.135069042,0.098504186
118.77,0.441118747,-0.13780266,0.099111661
118.775,0.453571916,-0.135069042,0.09789671
118.78,0.47149241,-0.173036069,0.09789671
118.785,0.435651511,-0.134765297,0.098504186
118.79,0.473314822,-0.145092323,0.099111661
118.795,0.456609309,-0.154508159,0.098807923
118.8,0.468455046,-0.175162226,0.098807923
118.805,0.482426882,-0.17455475,0.099111661
118.81,0.460557878,-0.13233541,0.099111661
118.815,0.473011047,-0.135676503,0.098504186
118.82,0.51310426,-0.138713866,0.098504186
118.825,0.449015915,-0.147218481,0.098807923
118.83,0.479693264,-0.163012773,0.098807923
118.835,0.469366223,-0.140536278,0.099111661
118.84,0.463595271,-0.128083095,0.099111661
118.845,0.510674357,-0.14691475,0.09789671
118.85,0.466025144,-0.145699814,0.098200448
118.855,0.469669968,-0.152382001,0.098200448
118.86,0.485464275,-0.130512983,0.098807923
118.865,0.484553039,-0.154204428,0.098504186
118.87,0.476352185,-0.135980248,0.098504186
118.875,0.526164889,-0.182451904,0.098200448
118.88,0.550767541,-0.139625087,0.098807923
118.885,0.472707331,-0.146611005,0.098504186
118.89,0.483945578,-0.159367934,0.09971913
118.895,0.487590402,-0.143573657,0.099111661
118.9,0.474833488,-0.163923994,0.098807923
118.905,0.462987751,-0.162101567,0.09971913
118.91,0.459950417,-0.181844413,0.099415392
118.915,0.500954807,-0.148129702,0.098200448
118.92,0.515230417,-0.157545507,0.099111661
118.925,0.497309953,-0.181540683,0.098504186
118.93,0.484249324,-0.129601777,0.099415392
118.935,0.469062507,-0.125653207,0.099415392
118.94,0.467543811,-0.20644708,0.098807923
118.945,0.475440949,-0.161190346,0.099111661
118.95,0.432614148,-0.142358705,0.098200448
118.955,0.465417653,-0.183059365,0.098807923
118.96,0.474833488,-0.15086332,0.098504186
118.965,0.511281848,-0.150255844,0.098200448
118.97,0.483945578,-0.1924752,0.098504186
118.975,0.474529743,-0.142358705,0.09789671
118.98,0.51766032,-0.170909911,0.098504186
118.985,0.543477833,-0.160582885,0.098504186
118.99,0.498524934,-0.147218481,0.099111661
118.995,0.47604844,-0.145396054,0.099111661
119.0,0.493361413,-0.143877387,0.099111661
119.005,0.4532682,-0.153900683,0.099111661
119.01,0.492146432,-0.13780266,0.099111661
119.015,0.517356575,-0.13780266,0.098807923
119.02,0.51310426,-0.145699814,0.099111661
119.025,0.497006238,-0.162709042,0.098504186
119.03,0.480908215,-0.135980248,0.098807923
119.035,0.485464275,-0.161797836,0.098807923
119.04,0.483338118,-0.15116705,0.098200448
119.045,0.473314822,-0.128994316,0.098807923
119.05,0.477870822,-0.185792997,0.098504186
119.055,0.441422462,-0.168783769,0.098200448
119.06,0.502777219,-0.13294287,0.098504186
119.065,0.47209987,-0.164531454,0.098807923
119.07,0.480908215,-0.188830361,0.09789671
